,index,title,authors,average_rating,isbn13,language_code,num_pages,categories,description,published_year,new_categories,lower_title,combined_features
0,0,A Short History of Nearly Everything,Bill Bryson,4.21,9780767908184,eng,544.0,Science,"The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing.",2004.0,Science,a short history of nearly everything,"a short history of nearly everything,Bill Bryson,Science,The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing."
1,4,Bill Bryson's African Diary,Bill Bryson,3.44,9780767915069,eng,55.0,Biography & Autobiography,"A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects.",2002.0,Biography & Autobiography,bill bryson's african diary,"bill bryson's african diary,Bill Bryson,Biography & Autobiography,A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects."
2,6,In a Sunburned Country,Bill Bryson,4.07,9780767903868,eng,335.0,True Crime,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes.,2001.0,True Crime,in a sunburned country,"in a sunburned country,Bill Bryson,True Crime,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes."
3,7,Notes from a Small Island,Bill Bryson,3.91,9780380727506,eng,324.0,Travel,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.",1997.0,Travel,notes from a small island,"notes from a small island,Bill Bryson,Travel,""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
4,8,The Changeling,Zilpha Keatley Snyder,4.17,9780595321803,eng,369.0,Fiction,FICTION-ROMANCE/GOTHIC,1990.0,Fiction,the changeling,"the changeling,Zilpha Keatley Snyder,Fiction,FICTION-ROMANCE/GOTHIC"
5,14,The Known World,Edward P. Jones,3.83,9780061159176,eng,388.0,African American plantation owners,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,African American plantation owners,the known world,"the known world,Edward P. Jones,African American plantation owners,An epic narrative that takes a look at slavery in all of its moral complexities."
6,22,Uncommon Carriers,John McPhee,3.95,9780374280390,en-US,248.0,Literary Collections,"McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl",2006.0,Literary Collections,uncommon carriers,"uncommon carriers,John McPhee,Literary Collections,McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl"
7,23,Heirs of General Practice,John McPhee,4.17,9780374519742,eng,128.0,Biography & Autobiography,"Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients",1986.0,Biography & Autobiography,heirs of general practice,"heirs of general practice,John McPhee,Biography & Autobiography,Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients"
8,24,The Control of Nature,John McPhee,4.24,9780374522599,en-US,288.0,Nature,"The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters.",1990.0,Nature,the control of nature,"the control of nature,John McPhee,Nature,The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters."
9,25,Coming Into the Country,John McPhee,4.22,9780374522872,eng,448.0,Nature,"An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska",1991.0,Nature,coming into the country,"coming into the country,John McPhee,Nature,An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska"
10,26,Giving Good Weight,John McPhee,4.23,9780374516000,eng,288.0,Literary Collections,"""You people come into the market--the Greenmarket, in the open air under the down pouring sun--and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are--people of the city--and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists.",1994.0,Literary Collections,giving good weight,"giving good weight,John McPhee,Literary Collections,""You people come into the market--the Greenmarket, in the open air under the down pouring sun--and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are--people of the city--and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists."
11,27,The Heidi Chronicles,Wendy Wasserstein,3.75,9780822205104,eng,81.0,Literary Criticism,"THE STORY: Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, s",1990.0,Literary Criticism,the heidi chronicles,"the heidi chronicles,Wendy Wasserstein,Literary Criticism,THE STORY: Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, s"
12,28,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,9781581807745,en-US,128.0,Crafts & Hobbies,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts.",2006.0,Crafts & Hobbies,simply beautiful beaded jewelry,"simply beautiful beaded jewelry,Heidi Boyd,Crafts & Hobbies,If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts."
13,29,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,9780871209993,eng,192.0,Education,Teachers and administrators offer concrete advice on how to get the most out of curriculum mapping in districts and schools.,2004.0,Education,getting results with curriculum mapping,"getting results with curriculum mapping,Heidi Hayes Jacobs,Education,Teachers and administrators offer concrete advice on how to get the most out of curriculum mapping in districts and schools."
14,30,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,9780596523695,eng,873.0,Computers,"Provides information on using the Ruby programming language, covering such topics as strings and arrays, XML processing, Ruby on Rails, databases, and graphics.",2006.0,Computers,ruby cookbook,"ruby cookbook,Lucas Carlson/Leonard Richardson,Computers,Provides information on using the Ruby programming language, covering such topics as strings and arrays, XML processing, Ruby on Rails, databases, and graphics."
15,31,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,9780806523491,eng,240.0,Cooking,"Showcases the eccentric residents of the fictional High Chaparral Trailer Park of Pangburn, Arkansas, a community filled with sex, murder, topless dancing, secrets, and adultery, as they dish the dirt on their neighbors and provide such cost-effective recipes as Spam Rolls, Mayonnaises Cake, All Day Crock Pot Delight, and Honky Tonkin' Husband's Bread. Original.",2002.0,Cooking,ruby ann's down home trailer park cookbook,"ruby ann's down home trailer park cookbook,Ruby Ann Boxcar,Cooking,Showcases the eccentric residents of the fictional High Chaparral Trailer Park of Pangburn, Arkansas, a community filled with sex, murder, topless dancing, secrets, and adultery, as they dish the dirt on their neighbors and provide such cost-effective recipes as Spam Rolls, Mayonnaises Cake, All Day Crock Pot Delight, and Honky Tonkin' Husband's Bread. Original."
16,32,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,9780143035008,eng,837.0,Fiction,The Award-Winning New Translation Of The Great Russian Novel.,2002.0,Fiction,anna karenina,"anna karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Fiction,The Award-Winning New Translation Of The Great Russian Novel."
17,56,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,9780822001836,eng,80.0,Literary Criticism,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Anna Karenina delves into the complex web of relationships in Tolstoy’s epic novel. As the characters unfold, this novel draws you into the lives of Karenin, Anna, and others as they struggle through the seemingly hopeless marriage patterns of urban society. Do romantic relationships make us stronger or weaker as individuals? With insights into the characters of Anna Karenina, as well as information about Tolstoy’s own life and background, this study guide will help you get the most out of this classic novel. Other features that help you study include A character list that reveals names, traits, and key relationships Summaries and commentaries on each chapter Critical essays In-depth character analyses Analysis of major themes Review questions and suggested writing topics Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides.",1965.0,Literary Criticism,cliffsnotes on tolstoy's anna karenina,"cliffsnotes on tolstoy's anna karenina,Marianne Sturman/Leo Tolstoy,Literary Criticism,The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Anna Karenina delves into the complex web of relationships in Tolstoy’s epic novel. As the characters unfold, this novel draws you into the lives of Karenin, Anna, and others as they struggle through the seemingly hopeless marriage patterns of urban society. Do romantic relationships make us stronger or weaker as individuals? With insights into the characters of Anna Karenina, as well as information about Tolstoy’s own life and background, this study guide will help you get the most out of this classic novel. Other features that help you study include A character list that reveals names, traits, and key relationships Summaries and commentaries on each chapter Critical essays In-depth character analyses Analysis of major themes Review questions and suggested writing topics Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides."
18,57,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,9780521313254,eng,128.0,Literary Criticism,A close reading of this classic novel that explores the subtle psychology in Tolstoy's characterisation.,1987.0,Literary Criticism,tolstoy: anna karenina,"tolstoy: anna karenina,Anthony Thorlby,Literary Criticism,A close reading of this classic novel that explores the subtle psychology in Tolstoy's characterisation."
19,58,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,9780140183955,eng,160.0,Fiction,Explores the plight of the `Untouchables' in Hindu society in the 1930s.,1940.0,Fiction,untouchable,"untouchable,Mulk Raj Anand/E.M. Forster,Fiction,Explores the plight of the `Untouchables' in Hindu society in the 1930s."
20,59,The Untouchable,John Banville,3.95,9780679767473,eng,367.0,Fiction,"A winner of the Lannan Literary Award and a Publishers Weekly Best Book of Year relates the story of a British intelligence agent and art historian to the Queen who is exposed as a Russian agent. Reprint. 20,000 first printing.",1998.0,Fiction,the untouchable,"the untouchable,John Banville,Fiction,A winner of the Lannan Literary Award and a Publishers Weekly Best Book of Year relates the story of a British intelligence agent and art historian to the Queen who is exposed as a Russian agent. Reprint. 20,000 first printing."
21,60,Wrinkles in Time,George Smoot/Keay Davidson,4.01,9780380720446,eng,360.0,Science,"Behold the Handwriting of God Astrophysicist and adventurer George Smoot spent twenty years pursuing the ""holy grail of science"" -- a relentless hunt that led him from the rain forests of Brazil to the frozen wastes of Antarctica. For decades he persevered -- struggling against time, the elements, the forces of ignorance and bureaucratic insanity. And finally, on April 23, 1992, he made a startling announcement that would usher in a new scientific age. For George Smoot and his dedicated team of Berkeley researchers had proven the unprovable -- uncovering, inarguably and for all time, the secrets of the creation of the Universe.",1994.0,Science,wrinkles in time,"wrinkles in time,George Smoot/Keay Davidson,Science,Behold the Handwriting of God Astrophysicist and adventurer George Smoot spent twenty years pursuing the ""holy grail of science"" -- a relentless hunt that led him from the rain forests of Brazil to the frozen wastes of Antarctica. For decades he persevered -- struggling against time, the elements, the forces of ignorance and bureaucratic insanity. And finally, on April 23, 1992, he made a startling announcement that would usher in a new scientific age. For George Smoot and his dedicated team of Berkeley researchers had proven the unprovable -- uncovering, inarguably and for all time, the secrets of the creation of the Universe."
22,61,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,9780140366600,eng,287.0,Juvenile Nonfiction,"A lively, upbeat collection of nonsense verse for all the family, including Lear, Carroll, Belloc and Nash, with Quentin Blake's wonderfully loopy illustrations.",1996.0,Juvenile Nonfiction,the puffin book of nonsense verse,"the puffin book of nonsense verse,Quentin Blake,Juvenile Nonfiction,A lively, upbeat collection of nonsense verse for all the family, including Lear, Carroll, Belloc and Nash, with Quentin Blake's wonderfully loopy illustrations."
23,62,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,9780811201124,eng,217.0,Literary Criticism,"Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience.",1964.0,Literary Criticism,henry miller on writing,"henry miller on writing,Henry Miller/Thomas H. Moore,Literary Criticism,Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience."
24,63,Quiet Days in Clichy,Henry Miller,3.69,9780802130167,eng,154.0,Fiction,Describes the experiences of two American writers living in Paris and their encounters with French prostitutes,1987.0,Fiction,quiet days in clichy,"quiet days in clichy,Henry Miller,Fiction,Describes the experiences of two American writers living in Paris and their encounters with French prostitutes"
25,64,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,9780802131782,eng,336.0,Fiction,"Miller's groundbreaking first novel, banned in Britain for almost thirty years, now reinvigorated in a new Harper Perennial Modern Classics edition. A penniless and as yet unpublished writer, Henry Miller arrived in Paris in 1930. Leaving behind a disintegrating marriage and an unhappy career in America, he threw himself into the low-life of bohemian Paris with unwavering gusto. A fictional account of Miller's adventures amongst the prostitutes and pimps, the penniless painters and writers of Montparnasse, Tropic of Cancer is an extravagant and rhapsodic hymn to a world of unrivalled eroticism and freedom. Tropic of Cancer's 1934 publication in France was hailed by Samuel Beckett as 'a momentous event in the history of modern writing'. The novel was subsequently banned in the UK and the USA and not released for publication for a further thirty years.",2005.0,Fiction,tropic of cancer,"tropic of cancer,Henry Miller/Jiří Níl,Fiction,Miller's groundbreaking first novel, banned in Britain for almost thirty years, now reinvigorated in a new Harper Perennial Modern Classics edition. A penniless and as yet unpublished writer, Henry Miller arrived in Paris in 1930. Leaving behind a disintegrating marriage and an unhappy career in America, he threw himself into the low-life of bohemian Paris with unwavering gusto. A fictional account of Miller's adventures amongst the prostitutes and pimps, the penniless painters and writers of Montparnasse, Tropic of Cancer is an extravagant and rhapsodic hymn to a world of unrivalled eroticism and freedom. Tropic of Cancer's 1934 publication in France was hailed by Samuel Beckett as 'a momentous event in the history of modern writing'. The novel was subsequently banned in the UK and the USA and not released for publication for a further thirty years."
26,65,Tropic of Capricorn,Henry Miller,3.78,9780802151827,eng,348.0,Fiction,"Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller’s Tropic of Cancer chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn’s ethnic neighborhoods and Miller’s outrageous sexual exploits, The Tropic of Capricorn is now considered a cornerstone of modern literature.",1961.0,Fiction,tropic of capricorn,"tropic of capricorn,Henry Miller,Fiction,Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller’s Tropic of Cancer chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn’s ethnic neighborhoods and Miller’s outrageous sexual exploits, The Tropic of Capricorn is now considered a cornerstone of modern literature."
27,66,The Portrait of a Lady,Henry James/Patricia Crick,3.78,9780141439631,eng,797.0,Fiction,"When Isabel Archer, a beautiful, spirited American is brought to Europe by her wealthy aunt Touchett, it is expected that she will soon marry. But Isabel, resolved to enjoy the freedom that her fortune has opened up and to determine her own fate, does not hesitate to turn down two eligible suitors. It is only when she finds herself irresistibly drawn to the cultivated but worthless Gilbert Osmond that she discovers that wealth is a two-edged sword and that there is a price to be paid for independence. With its subtle delineation of American characters in a European setting, Portrait of a Lady is one of the most accomplished and popular of Henry James's early novels.",2003.0,Fiction,the portrait of a lady,"the portrait of a lady,Henry James/Patricia Crick,Fiction,When Isabel Archer, a beautiful, spirited American is brought to Europe by her wealthy aunt Touchett, it is expected that she will soon marry. But Isabel, resolved to enjoy the freedom that her fortune has opened up and to determine her own fate, does not hesitate to turn down two eligible suitors. It is only when she finds herself irresistibly drawn to the cultivated but worthless Gilbert Osmond that she discovers that wealth is a two-edged sword and that there is a price to be paid for independence. With its subtle delineation of American characters in a European setting, Portrait of a Lady is one of the most accomplished and popular of Henry James's early novels."
28,68,The War,Marguerite Duras/Barbara Bray,3.85,9781565842212,eng,192.0,Biography & Autobiography,"The extraordinary pages of The War, written in 1944 but finished in 1985, form a totally new image of the heroine of The Lover and, through her, of Paris during the Nazi occupation and the first months of liberation. Married and living in Paris, part of a resistance network headed by Francois Mitterand, Duras is swept up in the turmoil of the period. She tells of nursing her starving husband back to life on his return from Bergen-Belsen, interrogating a suspected collaborator, and playing a game of cat and mouse with a Gestapo officer who is attracted to her. The result is a book as moving as it is harrowing--perhaps Duras's finest.",1994.0,Biography & Autobiography,the war,"the war,Marguerite Duras/Barbara Bray,Biography & Autobiography,The extraordinary pages of The War, written in 1944 but finished in 1985, form a totally new image of the heroine of The Lover and, through her, of Paris during the Nazi occupation and the first months of liberation. Married and living in Paris, part of a resistance network headed by Francois Mitterand, Duras is swept up in the turmoil of the period. She tells of nursing her starving husband back to life on his return from Bergen-Belsen, interrogating a suspected collaborator, and playing a game of cat and mouse with a Gestapo officer who is attracted to her. The result is a book as moving as it is harrowing--perhaps Duras's finest."
29,69,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,9780394743042,en-US,181.0,Fiction,Lol Stein's comfortable married life is disrupted when she returns to her hometown and recalls how she was abandoned by a former fiance,1986.0,Fiction,the ravishing of lol stein,"the ravishing of lol stein,Marguerite Duras/Richard Seever,Fiction,Lol Stein's comfortable married life is disrupted when she returns to her hometown and recalls how she was abandoned by a former fiance"
30,70,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,9781851681822,eng,178.0,Biography & Autobiography,A moving anthology of correspondence between Gibran and May Ziadah.,1999.0,Biography & Autobiography,love letters,"love letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,Biography & Autobiography,A moving anthology of correspondence between Gibran and May Ziadah."
31,72,Treasure Island,Robert Louis Stevenson,3.83,9780753453803,eng,160.0,Juvenile Fiction,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger.",2005.0,Juvenile Fiction,treasure island,"treasure island,Robert Louis Stevenson,Juvenile Fiction,While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger."
32,84,100 Years of Lynchings,Ralph Ginzburg,4.61,9780933121188,eng,270.0,Social Science,Ginzburg compiles vivid newspaper accounts from 1886 to 1960 to provide insight and understanding of the history of racial violence.,1962.0,Social Science,100 years of lynchings,"100 years of lynchings,Ralph Ginzburg,Social Science,Ginzburg compiles vivid newspaper accounts from 1886 to 1960 to provide insight and understanding of the history of racial violence."
33,85,Stranger in a Strange Land,Robert A. Heinlein,3.92,9780441788385,eng,672.0,Science fiction,"Epic, entertaining, Stranger in a Strange Land caused controversy and uproar when it was first published. Still topical and challenging today, the story of Valentine Michael Smith, the first man from Mars to visit Earth, is in the great tradition of stories that endure through the power of the author's imagination that stretches from Gulliver's Travels to 1984",2005.0,Science fiction,stranger in a strange land,"stranger in a strange land,Robert A. Heinlein,Science fiction,Epic, entertaining, Stranger in a Strange Land caused controversy and uproar when it was first published. Still topical and challenging today, the story of Valentine Michael Smith, the first man from Mars to visit Earth, is in the great tradition of stories that endure through the power of the author's imagination that stretches from Gulliver's Travels to 1984"
34,86,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,9780441748600,en-US,434.0,Fiction,"The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long",1988.0,Fiction,to sail beyond the sunset,"to sail beyond the sunset,Robert A. Heinlein,Fiction,The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long"
35,88,Douglas Adams's Starship Titanic,Terry Jones,3.6,9780345368430,eng,256.0,Fiction,"Seconds after its initial launch, Starship Titanic undergoes SMEF (Spontaneous Massive Existence Failure) and vanishes, only to mysteriously turn up at the home of Dan and Lucy Gibson, residents of a remote, little-known planet called Earth. Reprint.",1998.0,Fiction,douglas adams's starship titanic,"douglas adams's starship titanic,Terry Jones,Fiction,Seconds after its initial launch, Starship Titanic undergoes SMEF (Spontaneous Massive Existence Failure) and vanishes, only to mysteriously turn up at the home of Dan and Lucy Gibson, residents of a remote, little-known planet called Earth. Reprint."
36,89,On Bullshit,Harry G. Frankfurt,3.57,9780691122946,eng,67.0,Philosophy,"Presents a theory of bullshit, how it differs from lying, how those who engage in it change the rules of conversation, and how indulgence in bullshit can alter a person's ability to tell the truth.",2005.0,Philosophy,on bullshit,"on bullshit,Harry G. Frankfurt,Philosophy,Presents a theory of bullshit, how it differs from lying, how those who engage in it change the rules of conversation, and how indulgence in bullshit can alter a person's ability to tell the truth."
37,90,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,9780395883976,eng,32.0,Juvenile Nonfiction,The power and strength of President Abraham Lincoln's words are accentuated by illustrations in a reprint of the Gettysburg Address of 1863.,1997.0,Juvenile Nonfiction,the gettysburg address,"the gettysburg address,Abraham Lincoln/Michael McCurdy,Juvenile Nonfiction,The power and strength of President Abraham Lincoln's words are accentuated by illustrations in a reprint of the Gettysburg Address of 1863."
38,91,Underworld,Don DeLillo,3.92,9780684848150,eng,160.0,Juvenile Fiction,"Ferus Olin, a former Jedi apprentice, journeys through the underworld of the planet Coruscant in order to rescue a Jedi who is imprisoned in the Jedi Temple by the Empire.",2005.0,Juvenile Fiction,underworld,"underworld,Don DeLillo,Juvenile Fiction,Ferus Olin, a former Jedi apprentice, journeys through the underworld of the planet Coruscant in order to rescue a Jedi who is imprisoned in the Jedi Temple by the Empire."
39,94,Libra,Don DeLillo,3.99,9780140156041,eng,480.0,Fiction,The scheme of two disgruntled CIA agents to stage an unsuccessful attempt on the life of President Kennedy and link it to Cuba backfires when the erratic Lee Harvey Oswald goes too far,1991.0,Fiction,libra,"libra,Don DeLillo,Fiction,The scheme of two disgruntled CIA agents to stage an unsuccessful attempt on the life of President Kennedy and link it to Cuba backfires when the erratic Lee Harvey Oswald goes too far"
40,96,Americana,Don DeLillo,3.43,9780140119480,eng,377.0,Fiction,"David Bell, a successful television executive begins to film a movie which ultimately forces him to reexamine his goals and values",1989.0,Fiction,americana,"americana,Don DeLillo,Fiction,David Bell, a successful television executive begins to film a movie which ultimately forces him to reexamine his goals and values"
41,98,Running Dog,Don DeLillo,3.43,9780679722946,eng,256.0,Fiction,A woman reporter and a staff assistant to an American senator learn of an erotic film shot in Hitler's Berlin bunker which was to have been sold by a man found murdered and dressed as a woman in Manhattan,1989.0,Fiction,running dog,"running dog,Don DeLillo,Fiction,A woman reporter and a staff assistant to an American senator learn of an erotic film shot in Hitler's Berlin bunker which was to have been sold by a man found murdered and dressed as a woman in Manhattan"
42,99,Cosmopolis,Don DeLillo,3.22,9780743244251,eng,224.0,Fiction,"A brilliant billionaire asset manager, en route via white stretch limo to the local haircutter, finds his trip interrupted by a presidential motorcade, music idol's funeral, movie set, and violent political demonstration, and receives a number of important visitors in the fields of security, technology, currency, finance, and theory. Reprint. 75,000 first printing.",2004.0,Fiction,cosmopolis,"cosmopolis,Don DeLillo,Fiction,A brilliant billionaire asset manager, en route via white stretch limo to the local haircutter, finds his trip interrupted by a presidential motorcade, music idol's funeral, movie set, and violent political demonstration, and receives a number of important visitors in the fields of security, technology, currency, finance, and theory. Reprint. 75,000 first printing."
